584    17050842    ROBBERY    8/27/17 0:00    37.873017, -122.275481
586    17019828    ASSAULT/BATTERY MISD.    4/8/17 0:00    37.868714, -122.259189
598    17033788    ROBBERY    6/12/17 0:00    37.858079, -122.268016
621    17058720    ASSAULT/BATTERY MISD.    9/28/17 0:00    37.871167, -122.268285
626    17037329    ASSAULT/BATTERY FEL.    6/28/17 0:00    37.866265, -122.305592
636    17022794    ASSAULT/BATTERY FEL.    4/24/17 0:00    37.859309, -122.259291
638    17021024    ASSAULT/BATTERY FEL.    4/15/17 0:00    37.869973, -122.270557
650    17039540    ASSAULT/BATTERY MISD.    7/8/17 0:00    37.893213, -122.280436
652    17035116    GUN/WEAPON    6/18/17 0:00    37.873426, -122.293614
654    17044012    ASSAULT/BATTERY MISD.    7/29/17 0:00    37.868714, -122.259189
660    17020445    GUN/WEAPON    4/13/17 0:00
662    17056097    ASSAULT/BATTERY MISD.    9/16/17 0:00    37.864109, -122.292948
705    17022564    MISSING ADULT    4/21/17 0:00    37.864238, -122.265263
719    17023073    ASSAULT/BATTERY MISD.    4/21/17 0:00    37.858867, -122.278992
745    17031702    MISSING JUVENILE    6/2/17 0:00    37.87304, -122.289659
747    17028998    ASSAULT/BATTERY MISD.    5/1/17 0:00    37.868785, -122.272701
752    17048088    ROBBERY    8/16/17 0:00    37.85488, -122.269079
756    17057182    ROBBERY    9/22/17 0:00
763    17019007    ASSAULT/BATTERY FEL.    4/4/17 0:00    37.850345, -122.270911
765    17034652    THEFT FROM PERSON    6/16/17 0:00    37.851017, -122.291088
766    17033335    ROBBERY    6/10/17 0:00    37.858079, -122.268016
767    17058228    THEFT FROM PERSON    9/26/17 0:00    37.847889, -122.277816
770    17028291    ASSAULT/BATTERY MISD.    5/19/17 0:00    37.872761, -122.296919
774    17021318    ROBBERY    4/16/17 0:00    37.873687, -122.268616
776    17039877    ASSAULT/BATTERY FEL.    7/10/17 0:00    37.869973, -122.270557
782    17047851    ROBBERY    8/15/17 0:00    37.851928, -122.274017
793    17021738    ASSAULT/BATTERY MISD.    4/19/17 0:00    37.870308, -122.26805
814    17034006    ASSAULT/BATTERY MISD.    6/13/17 0:00    37.869363, -122.268028
815    17025725    GUN/WEAPON    5/7/17 0:00    37.866265, -122.305592
816    17024896    MISSING ADULT    4/29/17 0:00    37.881433, -122.272921
848    17038391    ASSAULT/BATTERY FEL.    7/3/17 0:00    37.862927, -122.258784
855    17032361    ASSAULT/BATTERY MISD.    6/3/17 0:00    37.8667, -122.267614
880    17022883    ASSAULT/BATTERY MISD.    4/24/17 0:00    37.852211, -122.286336
906    17027099    ROBBERY    5/13/17 0:00    37.859918, -122.254574
919    17023050    ASSAULT/BATTERY FEL.    4/15/17 0:00    37.869685, -122.272804
925    17023391    ASSAULT/BATTERY FEL.    4/27/17 0:00    37.882024, -122.29756
933    17053422    ASSAULT/BATTERY MISD.    9/6/17 0:00    37.868714, -122.259189
948    17035117    ASSAULT/BATTERY MISD.    6/18/17 0:00    37.857409, -122.268473
972    17053166    ASSAULT/BATTERY MISD.    9/5/17 0:00    37.866592, -122.297226
979    17043150    ASSAULT/BATTERY MISD.    7/24/17 0:00    37.879027, -122.288477
984    17037039    ASSAULT/BATTERY MISD.    6/27/17 0:00    37.878274, -122.297556
985    17022908    ASSAULT/BATTERY MISD.    4/25/17 0:00    37.866311, -122.256361
992    17032875    ASSAULT/BATTERY FEL.    6/8/17 0:00    37.854012, -122.251243
997    17040429    MISSING ADULT    7/2/17 0:00    37.861511, -122.29681
1007    17049022    ASSAULT/BATTERY MISD.    8/20/17 0:00    37.867852, -122.258699
1009    17023347    ROBBERY    4/15/17 0:00    37.869685, -122.272804
1022    17036388    ASSAULT/BATTERY FEL.    6/24/17 0:00    37.848812, -122.278043
1027    17052684    ASSAULT/BATTERY MISD.    9/3/17 0:00    37.869363, -122.268028
1029    17046821    MISSING ADULT    8/8/17 0:00
1035    17018802    ROBBERY    4/4/17 0:00    37.866568, -122.254084
1036    17044173    ASSAULT/BATTERY FEL.    7/29/17 0:00
1055    17028388    GUN/WEAPON    5/19/17 0:00
1059    17039919    ASSAULT/BATTERY MISD.    7/10/17 0:00    37.855293, -122.266502
1063    17020376    ASSAULT/BATTERY MISD.    4/12/17 0:00    37.889507, -122.28167
1076    17050341    ROBBERY    8/25/17 0:00    37.866935, -122.265772
1091    17022129    ASSAULT/BATTERY MISD.    4/21/17 0:00    37.873687, -122.268616
1107    17020963    ASSAULT/BATTERY FEL.    4/15/17 0:00
1108    17057786    ASSAULT/BATTERY FEL.    9/24/17 0:00    37.880227, -122.26936
1122    17050994    ASSAULT/BATTERY MISD.    8/28/17 0:00    37.870396, -122.281585
1140    17057410    GUN/WEAPON    9/22/17 0:00    37.875264, -122.30002
1157    17026636    ASSAULT/BATTERY MISD.    5/11/17 0:00    37.868785, -122.272701
1168    17041294    ASSAULT/BATTERY MISD.    7/16/17 0:00    37.870396, -122.281585
1176    17045856    ASSAULT/BATTERY MISD.    8/6/17 0:00    37.867816, -122.258994
1191    17055458    ROBBERY    9/14/17 0:00    37.869488, -122.289522
1212    17047995    ASSAULT/BATTERY FEL.    8/15/17 0:00    37.867852, -122.258699
1215    17050979    ASSAULT/BATTERY MISD.    8/28/17 0:00    37.874369, -122.304473
1233    17044005    MISSING ADULT    7/28/17 0:00    37.848152, -122.275807
1234    17044903    MISSING ADULT    8/2/17 0:00    37.87551, -122.291424
1246    17032229    MISSING ADULT    5/1/17 0:00
1253    17026150    ASSAULT/BATTERY MISD.    5/9/17 0:00    37.871402, -122.292965
1266    17047087    MISSING ADULT    8/11/17 0:00    37.861265, -122.26698
1271    17043433    ASSAULT/BATTERY MISD.    7/26/17 0:00    37.8719, -122.268389
1277    17028333    ROBBERY    5/19/17 0:00    37.853552, -122.291561
1279    17025703    ASSAULT/BATTERY MISD.    5/7/17 0:00    37.867816, -122.258994
1281    17051178    ASSAULT/BATTERY FEL.    8/28/17 0:00    37.867852, -122.258699
1295    17025087    ASSAULT/BATTERY MISD.    5/4/17 0:00
1297    17030576    ASSAULT/BATTERY FEL.    5/29/17 0:00    37.868447, -122.261268
1309    17027695    ASSAULT/BATTERY MISD.    5/15/17 0:00    37.862393, -122.248851
1316    17057397    ROBBERY    9/22/17 0:00    37.866761, -122.258779
1323    17039703    ASSAULT/BATTERY MISD.    7/9/17 0:00    37.867926, -122.297664
1333    17044824    ROBBERY    8/1/17 0:00    37.867259, -122.26324
1341    17039953    ROBBERY    7/10/17 0:00    37.85062, -122.278313
1351    17029420    ASSAULT/BATTERY MISD.    5/24/17 0:00    37.854215, -122.269167
1358    17058081    ASSAULT/BATTERY MISD.    9/25/17 0:00    37.868714, -122.259189
1368    17050774    ROBBERY    8/27/17 0:00    37.867852, -122.258699
1376    17031191    ASSAULT/BATTERY MISD.    6/1/17 0:00    37.869363, -122.268028
1377    17046347    ROBBERY    8/8/17 0:00    37.867176, -122.267802
1393    17039818    ASSAULT/BATTERY FEL.    7/9/17 0:00
1403    17039961    ASSAULT/BATTERY MISD.    7/10/17 0:00    37.85488, -122.269079
1414    17058057    ASSAULT/BATTERY MISD.    9/25/17 0:00    37.869973, -122.270557
1418    17025047    ASSAULT/BATTERY MISD.    5/1/17 0:00    37.858867, -122.278992
1426    17047218    GUN/WEAPON    8/11/17 0:00    37.876386, -122.285017
1432    17030448    ROBBERY    5/28/17 0:00    37.880262, -122.295809
1452    17043263    ASSAULT/BATTERY MISD.    7/25/17 0:00    37.866594, -122.287944
1462    17052341    ROBBERY    9/2/17 0:00    37.869385, -122.28953
1472    17042833    ASSAULT/BATTERY FEL.    7/22/17 0:00    37.866327, -122.263359
1476    17046365    MISSING JUVENILE    8/7/17 0:00    37.851521, -122.28549
1483    17020962    ASSAULT/BATTERY FEL.    4/15/17 0:00    37.869685, -122.272804
